Carreira
Construção	Bath Iron Works (Bath, Maine, U.S.A.)
Batimento de quilha	11 de Setembro de 1943
Lançamento	12 de Fevereiro de 1944
Período de serviço	1944-1971
Características gerais
Tipo de navio	Destroyer
Classe	Allen M. Summer
Deslocamento	2200 BRT
Comprimento	370 pés
Propulsão	60000
Velocidade	34 nós
Armamento	6 armas x 5"
10 tubos de torpedos x 21"
6 projetores de cargas de profundidade
2 lançadores de cargas de profundidade
Tripulação	336 tripulantes
